time,id,x,y,speed,headway,leader_id,target_accel_with_noise_with_failsafe,target_accel_no_noise_no_failsafe,target_accel_with_noise_no_failsafe,target_accel_no_noise_with_failsafe,realized_accel,road_grade,edge_id,lane_number,distance,relative_position,follower_id,leader_rel_speed
6.3,follower_0,86.9545385344943,13.99453853449431,12.475247524752483,7.0072727272727136,follower_1,2,27.227722772277154,27.227722772277154,2,1.980198019801982,0,bottom,0,39.920792079207935,39.920792079207935,leader_0,0.0
6.4,follower_0,87.85325685970143,14.94308661643888,12.673267326732681,7.0072727272727136,follower_1,2,25.247524752475172,25.247524752475172,2,1.980198019801982,0,bottom,0,41.1881188118812,41.1881188118812,leader_0,0.0
6.5,follower_0,88.74952324735192,15.921822360663844,12.87128712871288,7.0072727272727136,follower_1,2,23.26732673267319,23.26732673267319,2,1.980198019801982,0,bottom,0,42.47524752475249,42.47524752475249,leader_0,0.0
6.6,follower_0,89.61803120786657,16.952365388438697,13.069306930693077,7.0072727272727136,follower_1,2,21.28712871287121,21.28712871287121,2,1.980198019801982,0,bottom,0,43.782178217821794,43.782178217821794,leader_0,0.0
6.7,follower_0,90.47765052694385,18.01646121790506,13.267326732673276,7.0072727272727136,follower_1,2,19.306930693069226,19.306930693069226,2,1.980198019801982,0,bottom,0,45.108910891089124,45.108910891089124,leader_0,0.0
6.8,follower_0,91.33077467832935,19.11189279211197,13.465346534653474,7.0072727272727136,follower_1,2,17.326732673267244,17.326732673267244,2,1.980198019801982,0,bottom,0,46.45544554455447,46.45544554455447,leader_0,0.0
0,follower_1,62.292818607346916,-0.11295735991153583,0.0,7.007272727272728,follower_2,,,,,0,0,bottom,0,0.0,12.007272727272728,follower_0,0.0
0.1,follower_1,62.31273357466981,-0.10844460869551237,0.19801980198019803,7.007272727272726,follower_2,2,150.0,150.0,2,1.9801980198019802,0,bottom,0,0.01980198019801982,12.027074707470748,follower_0,0.0
0.2,follower_1,62.352541628501754,-0.09932981935028354,0.39603960396039606,7.007272727272726,follower_2,2,148.019801980198,148.019801980198,2,1.9801980198019802,0,bottom,0,0.05940594059405946,12.066678667866787,follower_0,0.0
0.3,follower_1,62.41177657832444,-0.08371065347664082,0.5940594059405941,7.007272727272724,follower_2,2,146.03960396039602,146.03960396039602,2,1.9801980198019808,0,bottom,0,0.11881188118811892,12.126084608460847,follower_0,0.0
